Epoch 1: Train Loss=3.7211, Train Top-1 Acc=0.4141, Train Top-5 Acc=0.7079, Val Loss=2.9957, Val Top-1 Acc=0.2968, Val Top-5 Acc=0.5841, Epoch Time=112.25s
Epoch 2: Train Loss=2.3523, Train Top-1 Acc=0.5945, Train Top-5 Acc=0.8491, Val Loss=2.7292, Val Top-1 Acc=0.3606, Val Top-5 Acc=0.6440, Epoch Time=112.22s
Epoch 3: Train Loss=1.6660, Train Top-1 Acc=0.7164, Train Top-5 Acc=0.9215, Val Loss=2.7950, Val Top-1 Acc=0.3673, Val Top-5 Acc=0.6538, Epoch Time=112.07s
Epoch 4: Train Loss=1.1641, Train Top-1 Acc=0.8175, Train Top-5 Acc=0.9631, Val Loss=2.9918, Val Top-1 Acc=0.3708, Val Top-5 Acc=0.6517, Epoch Time=112.07s
Epoch 5: Train Loss=0.7741, Train Top-1 Acc=0.8832, Train Top-5 Acc=0.9860, Val Loss=3.2375, Val Top-1 Acc=0.3643, Val Top-5 Acc=0.6565, Epoch Time=112.07s
Epoch 6: Train Loss=0.4699, Train Top-1 Acc=0.9216, Train Top-5 Acc=0.9944, Val Loss=3.5500, Val Top-1 Acc=0.3723, Val Top-5 Acc=0.6502, Epoch Time=112.07s
Epoch 7: Train Loss=0.2571, Train Top-1 Acc=0.9673, Train Top-5 Acc=0.9991, Val Loss=3.7657, Val Top-1 Acc=0.3667, Val Top-5 Acc=0.6524, Epoch Time=112.07s
Epoch 8: Train Loss=0.1265, Train Top-1 Acc=0.9912, Train Top-5 Acc=0.9998, Val Loss=3.8980, Val Top-1 Acc=0.3846, Val Top-5 Acc=0.6607, Epoch Time=112.07s
Epoch 9: Train Loss=0.0541, Train Top-1 Acc=0.9978, Train Top-5 Acc=0.9999, Val Loss=3.9863, Val Top-1 Acc=0.3919, Val Top-5 Acc=0.6673, Epoch Time=112.07s
Epoch 10: Train Loss=0.0265, Train Top-1 Acc=0.9993, Train Top-5 Acc=0.9998, Val Loss=4.0438, Val Top-1 Acc=0.4008, Val Top-5 Acc=0.6714, Epoch Time=112.08s
Epoch 11: Train Loss=0.0163, Train Top-1 Acc=0.9996, Train Top-5 Acc=0.9999, Val Loss=4.0731, Val Top-1 Acc=0.4009, Val Top-5 Acc=0.6719, Epoch Time=112.08s
Epoch 12: Train Loss=0.0119, Train Top-1 Acc=0.9997, Train Top-5 Acc=0.9998, Val Loss=4.1220, Val Top-1 Acc=0.4016, Val Top-5 Acc=0.6723, Epoch Time=112.07s
Epoch 13: Train Loss=0.0114, Train Top-1 Acc=0.9997, Train Top-5 Acc=0.9999, Val Loss=4.1467, Val Top-1 Acc=0.4035, Val Top-5 Acc=0.6751, Epoch Time=112.08s
Epoch 14: Train Loss=0.0099, Train Top-1 Acc=0.9997, Train Top-5 Acc=0.9999, Val Loss=4.1775, Val Top-1 Acc=0.4020, Val Top-5 Acc=0.6762, Epoch Time=112.07s
Epoch 15: Train Loss=0.0096, Train Top-1 Acc=0.9997, Train Top-5 Acc=0.9998, Val Loss=4.2327, Val Top-1 Acc=0.4015, Val Top-5 Acc=0.6733, Epoch Time=112.06s
Epoch 16: Train Loss=0.0090, Train Top-1 Acc=0.9997, Train Top-5 Acc=0.9999, Val Loss=4.2386, Val Top-1 Acc=0.4053, Val Top-5 Acc=0.6754, Epoch Time=112.06s
Epoch 17: Train Loss=0.0091, Train Top-1 Acc=0.9997, Train Top-5 Acc=0.9999, Val Loss=4.2594, Val Top-1 Acc=0.4047, Val Top-5 Acc=0.6778, Epoch Time=112.07s
Epoch 18: Train Loss=0.0083, Train Top-1 Acc=0.9997, Train Top-5 Acc=0.9999, Val Loss=4.2840, Val Top-1 Acc=0.4032, Val Top-5 Acc=0.6753, Epoch Time=112.06s
Epoch 19: Train Loss=0.0080, Train Top-1 Acc=0.9997, Train Top-5 Acc=0.9998, Val Loss=4.3012, Val Top-1 Acc=0.4072, Val Top-5 Acc=0.6766, Epoch Time=112.07s
Epoch 20: Train Loss=0.0078, Train Top-1 Acc=0.9998, Train Top-5 Acc=0.9999, Val Loss=4.3170, Val Top-1 Acc=0.4077, Val Top-5 Acc=0.6796, Epoch Time=112.08s
