Epoch 1: Train Loss=4.1310, Train Top-1 Acc=0.1465, Train Top-5 Acc=0.3967, Val Loss=3.6967, Val Top-1 Acc=0.1338, Val Top-5 Acc=0.3690, Epoch Time=472.98s
Epoch 2: Train Loss=3.4597, Train Top-1 Acc=0.2325, Train Top-5 Acc=0.5177, Val Loss=3.2787, Val Top-1 Acc=0.2007, Val Top-5 Acc=0.4855, Epoch Time=473.20s
Epoch 3: Train Loss=3.1104, Train Top-1 Acc=0.2839, Train Top-5 Acc=0.6004, Val Loss=3.0391, Val Top-1 Acc=0.2412, Val Top-5 Acc=0.5494, Epoch Time=472.80s
Epoch 4: Train Loss=2.8429, Train Top-1 Acc=0.3320, Train Top-5 Acc=0.6544, Val Loss=2.9023, Val Top-1 Acc=0.2712, Val Top-5 Acc=0.5829, Epoch Time=474.06s
Epoch 5: Train Loss=2.6295, Train Top-1 Acc=0.3664, Train Top-5 Acc=0.6949, Val Loss=2.8069, Val Top-1 Acc=0.2924, Val Top-5 Acc=0.6043, Epoch Time=471.16s
Epoch 6: Train Loss=2.4421, Train Top-1 Acc=0.4224, Train Top-5 Acc=0.7441, Val Loss=2.6989, Val Top-1 Acc=0.3243, Val Top-5 Acc=0.6302, Epoch Time=472.88s
Epoch 7: Train Loss=2.2728, Train Top-1 Acc=0.4618, Train Top-5 Acc=0.7784, Val Loss=2.6270, Val Top-1 Acc=0.3455, Val Top-5 Acc=0.6522, Epoch Time=472.83s
Epoch 8: Train Loss=2.1173, Train Top-1 Acc=0.5024, Train Top-5 Acc=0.8127, Val Loss=2.5940, Val Top-1 Acc=0.3491, Val Top-5 Acc=0.6546, Epoch Time=473.28s
Epoch 9: Train Loss=1.9592, Train Top-1 Acc=0.5225, Train Top-5 Acc=0.8337, Val Loss=2.5896, Val Top-1 Acc=0.3596, Val Top-5 Acc=0.6602, Epoch Time=473.37s
Epoch 10: Train Loss=1.8182, Train Top-1 Acc=0.5654, Train Top-5 Acc=0.8596, Val Loss=2.6124, Val Top-1 Acc=0.3626, Val Top-5 Acc=0.6711, Epoch Time=473.45s
Epoch 11: Train Loss=1.6893, Train Top-1 Acc=0.6070, Train Top-5 Acc=0.8878, Val Loss=2.5880, Val Top-1 Acc=0.3762, Val Top-5 Acc=0.6750, Epoch Time=471.86s
Epoch 12: Train Loss=1.5493, Train Top-1 Acc=0.6220, Train Top-5 Acc=0.8983, Val Loss=2.6677, Val Top-1 Acc=0.3705, Val Top-5 Acc=0.6736, Epoch Time=472.92s
Epoch 13: Train Loss=1.4354, Train Top-1 Acc=0.6567, Train Top-5 Acc=0.9136, Val Loss=2.6788, Val Top-1 Acc=0.3794, Val Top-5 Acc=0.6753, Epoch Time=473.20s
Epoch 14: Train Loss=1.3143, Train Top-1 Acc=0.6819, Train Top-5 Acc=0.9312, Val Loss=2.7638, Val Top-1 Acc=0.3643, Val Top-5 Acc=0.6700, Epoch Time=472.27s
Epoch 15: Train Loss=1.2068, Train Top-1 Acc=0.7147, Train Top-5 Acc=0.9441, Val Loss=2.7916, Val Top-1 Acc=0.3760, Val Top-5 Acc=0.6762, Epoch Time=471.96s
Epoch 16: Train Loss=1.0961, Train Top-1 Acc=0.7321, Train Top-5 Acc=0.9526, Val Loss=2.9003, Val Top-1 Acc=0.3752, Val Top-5 Acc=0.6707, Epoch Time=472.07s
Epoch 17: Train Loss=1.0068, Train Top-1 Acc=0.7599, Train Top-5 Acc=0.9613, Val Loss=2.9610, Val Top-1 Acc=0.3798, Val Top-5 Acc=0.6735, Epoch Time=472.36s
Epoch 18: Train Loss=0.9233, Train Top-1 Acc=0.7814, Train Top-5 Acc=0.9703, Val Loss=3.0319, Val Top-1 Acc=0.3711, Val Top-5 Acc=0.6728, Epoch Time=473.19s
Epoch 19: Train Loss=0.8342, Train Top-1 Acc=0.8029, Train Top-5 Acc=0.9744, Val Loss=3.0801, Val Top-1 Acc=0.3832, Val Top-5 Acc=0.6762, Epoch Time=473.03s
Epoch 20: Train Loss=0.7475, Train Top-1 Acc=0.8155, Train Top-5 Acc=0.9800, Val Loss=3.2680, Val Top-1 Acc=0.3686, Val Top-5 Acc=0.6616, Epoch Time=473.63s
Epoch 21: Train Loss=0.7178, Train Top-1 Acc=0.8342, Train Top-5 Acc=0.9848, Val Loss=3.2770, Val Top-1 Acc=0.3783, Val Top-5 Acc=0.6693, Epoch Time=473.59s
Epoch 22: Train Loss=0.6257, Train Top-1 Acc=0.8431, Train Top-5 Acc=0.9871, Val Loss=3.3997, Val Top-1 Acc=0.3712, Val Top-5 Acc=0.6693, Epoch Time=473.77s
Epoch 23: Train Loss=0.5933, Train Top-1 Acc=0.8526, Train Top-5 Acc=0.9886, Val Loss=3.4434, Val Top-1 Acc=0.3786, Val Top-5 Acc=0.6678, Epoch Time=473.29s
Epoch 24: Train Loss=0.5461, Train Top-1 Acc=0.8486, Train Top-5 Acc=0.9876, Val Loss=3.5176, Val Top-1 Acc=0.3732, Val Top-5 Acc=0.6673, Epoch Time=473.25s
Epoch 25: Train Loss=0.4899, Train Top-1 Acc=0.8722, Train Top-5 Acc=0.9919, Val Loss=3.5849, Val Top-1 Acc=0.3730, Val Top-5 Acc=0.6736, Epoch Time=473.17s
