Epoch 1: Train Loss=4.0666, Train Top-1 Acc=0.1213, Train Top-5 Acc=0.3550, Val Loss=3.7578, Val Top-1 Acc=0.1173, Val Top-5 Acc=0.3469, Epoch Time=148.23s
Epoch 2: Train Loss=3.5365, Train Top-1 Acc=0.1998, Train Top-5 Acc=0.4842, Val Loss=3.2993, Val Top-1 Acc=0.1937, Val Top-5 Acc=0.4721, Epoch Time=148.70s
Epoch 3: Train Loss=3.1645, Train Top-1 Acc=0.2520, Train Top-5 Acc=0.5591, Val Loss=3.0671, Val Top-1 Acc=0.2393, Val Top-5 Acc=0.5385, Epoch Time=148.37s
Epoch 4: Train Loss=2.8939, Train Top-1 Acc=0.3074, Train Top-5 Acc=0.6266, Val Loss=2.8181, Val Top-1 Acc=0.2880, Val Top-5 Acc=0.5937, Epoch Time=148.83s
Epoch 5: Train Loss=2.6835, Train Top-1 Acc=0.3472, Train Top-5 Acc=0.6747, Val Loss=2.6313, Val Top-1 Acc=0.3313, Val Top-5 Acc=0.6412, Epoch Time=148.38s
Epoch 6: Train Loss=2.5057, Train Top-1 Acc=0.3746, Train Top-5 Acc=0.7058, Val Loss=2.5284, Val Top-1 Acc=0.3461, Val Top-5 Acc=0.6686, Epoch Time=148.82s
Epoch 7: Train Loss=2.3582, Train Top-1 Acc=0.3995, Train Top-5 Acc=0.7296, Val Loss=2.4424, Val Top-1 Acc=0.3561, Val Top-5 Acc=0.6902, Epoch Time=148.37s
Epoch 8: Train Loss=2.2388, Train Top-1 Acc=0.4341, Train Top-5 Acc=0.7581, Val Loss=2.3124, Val Top-1 Acc=0.3962, Val Top-5 Acc=0.7128, Epoch Time=148.83s
Epoch 9: Train Loss=2.1272, Train Top-1 Acc=0.4420, Train Top-5 Acc=0.7709, Val Loss=2.2842, Val Top-1 Acc=0.3928, Val Top-5 Acc=0.7184, Epoch Time=148.38s
Epoch 10: Train Loss=2.0442, Train Top-1 Acc=0.4832, Train Top-5 Acc=0.7990, Val Loss=2.1718, Val Top-1 Acc=0.4221, Val Top-5 Acc=0.7433, Epoch Time=148.82s
Epoch 11: Train Loss=1.9679, Train Top-1 Acc=0.4933, Train Top-5 Acc=0.8061, Val Loss=2.1723, Val Top-1 Acc=0.4284, Val Top-5 Acc=0.7414, Epoch Time=148.37s
Epoch 12: Train Loss=1.9001, Train Top-1 Acc=0.5081, Train Top-5 Acc=0.8180, Val Loss=2.1102, Val Top-1 Acc=0.4412, Val Top-5 Acc=0.7501, Epoch Time=148.83s
Epoch 13: Train Loss=1.8380, Train Top-1 Acc=0.5193, Train Top-5 Acc=0.8304, Val Loss=2.0949, Val Top-1 Acc=0.4465, Val Top-5 Acc=0.7582, Epoch Time=148.38s
Epoch 14: Train Loss=1.7994, Train Top-1 Acc=0.5304, Train Top-5 Acc=0.8346, Val Loss=2.0873, Val Top-1 Acc=0.4447, Val Top-5 Acc=0.7612, Epoch Time=148.84s
