Epoch 1: Train Loss=4.0147, Train Top-1 Acc=0.1936, Train Top-5 Acc=0.4239, Val Loss=3.6782, Val Top-1 Acc=0.1669, Val Top-5 Acc=0.3845, Epoch Time=125.73s
Epoch 2: Train Loss=3.3723, Train Top-1 Acc=0.2659, Train Top-5 Acc=0.5340, Val Loss=3.3941, Val Top-1 Acc=0.2163, Val Top-5 Acc=0.4586, Epoch Time=125.75s
Epoch 3: Train Loss=3.0350, Train Top-1 Acc=0.3273, Train Top-5 Acc=0.6044, Val Loss=3.1950, Val Top-1 Acc=0.2484, Val Top-5 Acc=0.5112, Epoch Time=125.74s
Epoch 4: Train Loss=2.7678, Train Top-1 Acc=0.3795, Train Top-5 Acc=0.6611, Val Loss=3.0392, Val Top-1 Acc=0.2796, Val Top-5 Acc=0.5535, Epoch Time=125.74s
Epoch 5: Train Loss=2.5439, Train Top-1 Acc=0.4197, Train Top-5 Acc=0.6997, Val Loss=2.9297, Val Top-1 Acc=0.3032, Val Top-5 Acc=0.5780, Epoch Time=125.75s
Epoch 6: Train Loss=2.3630, Train Top-1 Acc=0.4573, Train Top-5 Acc=0.7341, Val Loss=2.8352, Val Top-1 Acc=0.3237, Val Top-5 Acc=0.5946, Epoch Time=125.73s
Epoch 7: Train Loss=2.2059, Train Top-1 Acc=0.4920, Train Top-5 Acc=0.7657, Val Loss=2.7688, Val Top-1 Acc=0.3329, Val Top-5 Acc=0.6101, Epoch Time=125.74s
Epoch 8: Train Loss=2.0644, Train Top-1 Acc=0.5308, Train Top-5 Acc=0.7938, Val Loss=2.6950, Val Top-1 Acc=0.3465, Val Top-5 Acc=0.6269, Epoch Time=125.75s
Epoch 9: Train Loss=1.9391, Train Top-1 Acc=0.5558, Train Top-5 Acc=0.8124, Val Loss=2.6737, Val Top-1 Acc=0.3521, Val Top-5 Acc=0.6332, Epoch Time=125.74s
Epoch 10: Train Loss=1.8193, Train Top-1 Acc=0.5837, Train Top-5 Acc=0.8336, Val Loss=2.6345, Val Top-1 Acc=0.3595, Val Top-5 Acc=0.6477, Epoch Time=125.73s
Epoch 11: Train Loss=1.7125, Train Top-1 Acc=0.6127, Train Top-5 Acc=0.8504, Val Loss=2.6107, Val Top-1 Acc=0.3634, Val Top-5 Acc=0.6517, Epoch Time=125.76s
