Epoch 1: Train Loss=3.9853, Train Top-1 Acc=0.2008, Train Top-5 Acc=0.4440, Val Loss=3.6272, Val Top-1 Acc=0.1715, Val Top-5 Acc=0.3995, Epoch Time=125.89s
Epoch 2: Train Loss=3.3284, Train Top-1 Acc=0.2786, Train Top-5 Acc=0.5488, Val Loss=3.3258, Val Top-1 Acc=0.2236, Val Top-5 Acc=0.4773, Epoch Time=125.74s
Epoch 3: Train Loss=2.9732, Train Top-1 Acc=0.3419, Train Top-5 Acc=0.6220, Val Loss=3.1189, Val Top-1 Acc=0.2628, Val Top-5 Acc=0.5300, Epoch Time=125.73s
Epoch 4: Train Loss=2.6942, Train Top-1 Acc=0.3942, Train Top-5 Acc=0.6781, Val Loss=2.9437, Val Top-1 Acc=0.2944, Val Top-5 Acc=0.5681, Epoch Time=125.70s
Epoch 5: Train Loss=2.4732, Train Top-1 Acc=0.4374, Train Top-5 Acc=0.7160, Val Loss=2.8420, Val Top-1 Acc=0.3178, Val Top-5 Acc=0.5925, Epoch Time=125.74s
Epoch 6: Train Loss=2.2883, Train Top-1 Acc=0.4773, Train Top-5 Acc=0.7532, Val Loss=2.7493, Val Top-1 Acc=0.3300, Val Top-5 Acc=0.6160, Epoch Time=125.72s
Epoch 7: Train Loss=2.1303, Train Top-1 Acc=0.5110, Train Top-5 Acc=0.7818, Val Loss=2.6952, Val Top-1 Acc=0.3433, Val Top-5 Acc=0.6311, Epoch Time=125.72s
Epoch 8: Train Loss=1.9907, Train Top-1 Acc=0.5475, Train Top-5 Acc=0.8062, Val Loss=2.6430, Val Top-1 Acc=0.3558, Val Top-5 Acc=0.6414, Epoch Time=125.73s
Epoch 9: Train Loss=1.8681, Train Top-1 Acc=0.5720, Train Top-5 Acc=0.8233, Val Loss=2.6172, Val Top-1 Acc=0.3570, Val Top-5 Acc=0.6458, Epoch Time=125.71s
Epoch 10: Train Loss=1.7545, Train Top-1 Acc=0.6022, Train Top-5 Acc=0.8425, Val Loss=2.6003, Val Top-1 Acc=0.3612, Val Top-5 Acc=0.6493, Epoch Time=125.72s
Epoch 11: Train Loss=1.6557, Train Top-1 Acc=0.6223, Train Top-5 Acc=0.8587, Val Loss=2.6040, Val Top-1 Acc=0.3635, Val Top-5 Acc=0.6540, Epoch Time=125.68s
