Epoch 1: Train Loss=4.6052, Train Top-1 Acc=0.0394, Train Top-5 Acc=0.1443, Val Loss=4.4286, Val Top-1 Acc=0.0359, Val Top-5 Acc=0.1385, Epoch Time=291.67s
Epoch 2: Train Loss=4.2370, Train Top-1 Acc=0.0825, Train Top-5 Acc=0.2610, Val Loss=4.0872, Val Top-1 Acc=0.0757, Val Top-5 Acc=0.2441, Epoch Time=292.47s
Epoch 3: Train Loss=3.9264, Train Top-1 Acc=0.1207, Train Top-5 Acc=0.3406, Val Loss=3.8661, Val Top-1 Acc=0.1114, Val Top-5 Acc=0.3110, Epoch Time=292.57s
Epoch 4: Train Loss=3.7093, Train Top-1 Acc=0.1551, Train Top-5 Acc=0.4008, Val Loss=3.6981, Val Top-1 Acc=0.1355, Val Top-5 Acc=0.3625, Epoch Time=292.19s
Epoch 5: Train Loss=3.5441, Train Top-1 Acc=0.1797, Train Top-5 Acc=0.4408, Val Loss=3.5861, Val Top-1 Acc=0.1551, Val Top-5 Acc=0.3953, Epoch Time=292.17s
Epoch 6: Train Loss=3.3997, Train Top-1 Acc=0.2019, Train Top-5 Acc=0.4760, Val Loss=3.4936, Val Top-1 Acc=0.1699, Val Top-5 Acc=0.4257, Epoch Time=292.44s
Epoch 7: Train Loss=3.2842, Train Top-1 Acc=0.2241, Train Top-5 Acc=0.5067, Val Loss=3.4033, Val Top-1 Acc=0.1885, Val Top-5 Acc=0.4449, Epoch Time=292.64s
Epoch 8: Train Loss=3.1814, Train Top-1 Acc=0.2452, Train Top-5 Acc=0.5346, Val Loss=3.3464, Val Top-1 Acc=0.1936, Val Top-5 Acc=0.4629, Epoch Time=291.94s
Epoch 9: Train Loss=3.0814, Train Top-1 Acc=0.2612, Train Top-5 Acc=0.5599, Val Loss=3.2848, Val Top-1 Acc=0.2043, Val Top-5 Acc=0.4804, Epoch Time=291.67s
Epoch 10: Train Loss=2.9894, Train Top-1 Acc=0.2810, Train Top-5 Acc=0.5815, Val Loss=3.2478, Val Top-1 Acc=0.2217, Val Top-5 Acc=0.4881, Epoch Time=292.14s
Epoch 11: Train Loss=2.9121, Train Top-1 Acc=0.2992, Train Top-5 Acc=0.6045, Val Loss=3.2011, Val Top-1 Acc=0.2273, Val Top-5 Acc=0.5079, Epoch Time=292.69s
Epoch 12: Train Loss=2.8253, Train Top-1 Acc=0.3078, Train Top-5 Acc=0.6170, Val Loss=3.1885, Val Top-1 Acc=0.2243, Val Top-5 Acc=0.5039, Epoch Time=292.64s
Epoch 13: Train Loss=2.7562, Train Top-1 Acc=0.3258, Train Top-5 Acc=0.6363, Val Loss=3.1700, Val Top-1 Acc=0.2356, Val Top-5 Acc=0.5193, Epoch Time=292.32s
Epoch 14: Train Loss=2.6841, Train Top-1 Acc=0.3430, Train Top-5 Acc=0.6516, Val Loss=3.1329, Val Top-1 Acc=0.2387, Val Top-5 Acc=0.5240, Epoch Time=292.83s
Epoch 15: Train Loss=2.6084, Train Top-1 Acc=0.3618, Train Top-5 Acc=0.6742, Val Loss=3.1050, Val Top-1 Acc=0.2466, Val Top-5 Acc=0.5318, Epoch Time=292.11s
Epoch 16: Train Loss=2.5409, Train Top-1 Acc=0.3748, Train Top-5 Acc=0.6881, Val Loss=3.1034, Val Top-1 Acc=0.2461, Val Top-5 Acc=0.5393, Epoch Time=292.11s
Epoch 17: Train Loss=2.4827, Train Top-1 Acc=0.3887, Train Top-5 Acc=0.7008, Val Loss=3.0938, Val Top-1 Acc=0.2556, Val Top-5 Acc=0.5411, Epoch Time=292.15s
Epoch 18: Train Loss=2.4170, Train Top-1 Acc=0.4003, Train Top-5 Acc=0.7172, Val Loss=3.0903, Val Top-1 Acc=0.2597, Val Top-5 Acc=0.5451, Epoch Time=292.02s
Epoch 19: Train Loss=2.3568, Train Top-1 Acc=0.4134, Train Top-5 Acc=0.7277, Val Loss=3.0921, Val Top-1 Acc=0.2574, Val Top-5 Acc=0.5449, Epoch Time=291.95s
Epoch 20: Train Loss=2.2947, Train Top-1 Acc=0.4325, Train Top-5 Acc=0.7403, Val Loss=3.0802, Val Top-1 Acc=0.2617, Val Top-5 Acc=0.5517, Epoch Time=291.93s
Epoch 21: Train Loss=2.2359, Train Top-1 Acc=0.4400, Train Top-5 Acc=0.7524, Val Loss=3.0823, Val Top-1 Acc=0.2625, Val Top-5 Acc=0.5524, Epoch Time=292.62s
Epoch 22: Train Loss=2.1693, Train Top-1 Acc=0.4568, Train Top-5 Acc=0.7665, Val Loss=3.1011, Val Top-1 Acc=0.2641, Val Top-5 Acc=0.5514, Epoch Time=291.79s
Epoch 23: Train Loss=2.1133, Train Top-1 Acc=0.4693, Train Top-5 Acc=0.7770, Val Loss=3.0962, Val Top-1 Acc=0.2677, Val Top-5 Acc=0.5597, Epoch Time=291.80s
Epoch 24: Train Loss=2.0468, Train Top-1 Acc=0.4814, Train Top-5 Acc=0.7872, Val Loss=3.1175, Val Top-1 Acc=0.2675, Val Top-5 Acc=0.5529, Epoch Time=291.72s
Epoch 25: Train Loss=1.9970, Train Top-1 Acc=0.5040, Train Top-5 Acc=0.8027, Val Loss=3.1126, Val Top-1 Acc=0.2649, Val Top-5 Acc=0.5584, Epoch Time=291.91s
Epoch 26: Train Loss=1.9313, Train Top-1 Acc=0.5064, Train Top-5 Acc=0.8083, Val Loss=3.1476, Val Top-1 Acc=0.2677, Val Top-5 Acc=0.5584, Epoch Time=292.58s
Epoch 27: Train Loss=1.8870, Train Top-1 Acc=0.5244, Train Top-5 Acc=0.8235, Val Loss=3.1509, Val Top-1 Acc=0.2736, Val Top-5 Acc=0.5588, Epoch Time=292.13s
Epoch 28: Train Loss=1.8161, Train Top-1 Acc=0.5456, Train Top-5 Acc=0.8342, Val Loss=3.1602, Val Top-1 Acc=0.2750, Val Top-5 Acc=0.5560, Epoch Time=292.70s
Epoch 29: Train Loss=1.7682, Train Top-1 Acc=0.5583, Train Top-5 Acc=0.8460, Val Loss=3.1841, Val Top-1 Acc=0.2711, Val Top-5 Acc=0.5586, Epoch Time=291.58s
Epoch 30: Train Loss=1.7084, Train Top-1 Acc=0.5753, Train Top-5 Acc=0.8572, Val Loss=3.1897, Val Top-1 Acc=0.2752, Val Top-5 Acc=0.5697, Epoch Time=292.03s
Epoch 31: Train Loss=1.6455, Train Top-1 Acc=0.5872, Train Top-5 Acc=0.8658, Val Loss=3.2303, Val Top-1 Acc=0.2713, Val Top-5 Acc=0.5602, Epoch Time=292.00s
Epoch 32: Train Loss=1.5884, Train Top-1 Acc=0.6002, Train Top-5 Acc=0.8737, Val Loss=3.2550, Val Top-1 Acc=0.2721, Val Top-5 Acc=0.5644, Epoch Time=291.92s
Epoch 33: Train Loss=1.5343, Train Top-1 Acc=0.6164, Train Top-5 Acc=0.8829, Val Loss=3.2642, Val Top-1 Acc=0.2755, Val Top-5 Acc=0.5546, Epoch Time=291.50s
Epoch 34: Train Loss=1.4811, Train Top-1 Acc=0.6228, Train Top-5 Acc=0.8891, Val Loss=3.3256, Val Top-1 Acc=0.2753, Val Top-5 Acc=0.5578, Epoch Time=292.18s
