Epoch 1: Train Loss=4.2554, Train Top-1 Acc=0.0872, Train Top-5 Acc=0.2702, Val Loss=3.9813, Val Top-1 Acc=0.0838, Val Top-5 Acc=0.2684, Epoch Time=148.84s
Epoch 2: Train Loss=3.8389, Train Top-1 Acc=0.1286, Train Top-5 Acc=0.3618, Val Loss=3.7206, Val Top-1 Acc=0.1231, Val Top-5 Acc=0.3494, Epoch Time=148.38s
Epoch 3: Train Loss=3.5701, Train Top-1 Acc=0.1711, Train Top-5 Acc=0.4324, Val Loss=3.4615, Val Top-1 Acc=0.1632, Val Top-5 Acc=0.4334, Epoch Time=148.85s
Epoch 4: Train Loss=3.3471, Train Top-1 Acc=0.2259, Train Top-5 Acc=0.5096, Val Loss=3.2204, Val Top-1 Acc=0.2153, Val Top-5 Acc=0.4963, Epoch Time=148.37s
Epoch 5: Train Loss=3.0983, Train Top-1 Acc=0.2563, Train Top-5 Acc=0.5544, Val Loss=3.0749, Val Top-1 Acc=0.2401, Val Top-5 Acc=0.5394, Epoch Time=148.87s
Epoch 6: Train Loss=2.9324, Train Top-1 Acc=0.2908, Train Top-5 Acc=0.5995, Val Loss=2.9202, Val Top-1 Acc=0.2741, Val Top-5 Acc=0.5772, Epoch Time=148.39s
Epoch 7: Train Loss=2.7449, Train Top-1 Acc=0.3250, Train Top-5 Acc=0.6488, Val Loss=2.7364, Val Top-1 Acc=0.3053, Val Top-5 Acc=0.6196, Epoch Time=148.87s
Epoch 8: Train Loss=2.5515, Train Top-1 Acc=0.3635, Train Top-5 Acc=0.6939, Val Loss=2.5761, Val Top-1 Acc=0.3340, Val Top-5 Acc=0.6592, Epoch Time=148.39s
Epoch 9: Train Loss=2.4044, Train Top-1 Acc=0.4009, Train Top-5 Acc=0.7227, Val Loss=2.4569, Val Top-1 Acc=0.3601, Val Top-5 Acc=0.6819, Epoch Time=148.87s
Epoch 10: Train Loss=2.2961, Train Top-1 Acc=0.4288, Train Top-5 Acc=0.7455, Val Loss=2.3619, Val Top-1 Acc=0.3835, Val Top-5 Acc=0.6984, Epoch Time=148.38s
Epoch 11: Train Loss=2.1820, Train Top-1 Acc=0.4384, Train Top-5 Acc=0.7618, Val Loss=2.3057, Val Top-1 Acc=0.3936, Val Top-5 Acc=0.7127, Epoch Time=148.87s
Epoch 12: Train Loss=2.1102, Train Top-1 Acc=0.4643, Train Top-5 Acc=0.7805, Val Loss=2.2540, Val Top-1 Acc=0.4090, Val Top-5 Acc=0.7282, Epoch Time=148.39s
Epoch 13: Train Loss=2.0316, Train Top-1 Acc=0.4736, Train Top-5 Acc=0.7903, Val Loss=2.2329, Val Top-1 Acc=0.4103, Val Top-5 Acc=0.7356, Epoch Time=148.85s
Epoch 14: Train Loss=1.9320, Train Top-1 Acc=0.4951, Train Top-5 Acc=0.8069, Val Loss=2.1874, Val Top-1 Acc=0.4219, Val Top-5 Acc=0.7410, Epoch Time=148.39s
Epoch 15: Train Loss=1.8944, Train Top-1 Acc=0.5067, Train Top-5 Acc=0.8144, Val Loss=2.1579, Val Top-1 Acc=0.4295, Val Top-5 Acc=0.7479, Epoch Time=148.86s
Epoch 16: Train Loss=1.8398, Train Top-1 Acc=0.5160, Train Top-5 Acc=0.8232, Val Loss=2.1580, Val Top-1 Acc=0.4309, Val Top-5 Acc=0.7468, Epoch Time=148.38s
Epoch 17: Train Loss=1.8215, Train Top-1 Acc=0.5127, Train Top-5 Acc=0.8236, Val Loss=2.1744, Val Top-1 Acc=0.4222, Val Top-5 Acc=0.7459, Epoch Time=148.85s
Epoch 18: Train Loss=1.7670, Train Top-1 Acc=0.5338, Train Top-5 Acc=0.8364, Val Loss=2.1157, Val Top-1 Acc=0.4417, Val Top-5 Acc=0.7545, Epoch Time=148.37s
Epoch 19: Train Loss=1.7011, Train Top-1 Acc=0.5439, Train Top-5 Acc=0.8445, Val Loss=2.1099, Val Top-1 Acc=0.4405, Val Top-5 Acc=0.7556, Epoch Time=148.84s
Epoch 20: Train Loss=1.6689, Train Top-1 Acc=0.5610, Train Top-5 Acc=0.8537, Val Loss=2.1047, Val Top-1 Acc=0.4462, Val Top-5 Acc=0.7594, Epoch Time=148.38s
Epoch 21: Train Loss=1.6518, Train Top-1 Acc=0.5556, Train Top-5 Acc=0.8516, Val Loss=2.1110, Val Top-1 Acc=0.4417, Val Top-5 Acc=0.7568, Epoch Time=148.86s
Epoch 22: Train Loss=1.6452, Train Top-1 Acc=0.5619, Train Top-5 Acc=0.8609, Val Loss=2.1125, Val Top-1 Acc=0.4381, Val Top-5 Acc=0.7577, Epoch Time=148.38s
Epoch 23: Train Loss=1.5902, Train Top-1 Acc=0.5682, Train Top-5 Acc=0.8597, Val Loss=2.1458, Val Top-1 Acc=0.4411, Val Top-5 Acc=0.7469, Epoch Time=148.87s
Epoch 24: Train Loss=1.5767, Train Top-1 Acc=0.5834, Train Top-5 Acc=0.8669, Val Loss=2.1067, Val Top-1 Acc=0.4486, Val Top-5 Acc=0.7594, Epoch Time=148.39s
Epoch 25: Train Loss=1.5536, Train Top-1 Acc=0.5857, Train Top-5 Acc=0.8706, Val Loss=2.1238, Val Top-1 Acc=0.4448, Val Top-5 Acc=0.7596, Epoch Time=148.87s
Epoch 26: Train Loss=1.5085, Train Top-1 Acc=0.5971, Train Top-5 Acc=0.8794, Val Loss=2.0935, Val Top-1 Acc=0.4501, Val Top-5 Acc=0.7667, Epoch Time=148.38s
Epoch 27: Train Loss=1.4879, Train Top-1 Acc=0.5969, Train Top-5 Acc=0.8794, Val Loss=2.1023, Val Top-1 Acc=0.4458, Val Top-5 Acc=0.7652, Epoch Time=148.89s
Epoch 28: Train Loss=1.4698, Train Top-1 Acc=0.5906, Train Top-5 Acc=0.8773, Val Loss=2.1699, Val Top-1 Acc=0.4396, Val Top-5 Acc=0.7519, Epoch Time=148.38s
Epoch 29: Train Loss=1.4599, Train Top-1 Acc=0.6059, Train Top-5 Acc=0.8865, Val Loss=2.1431, Val Top-1 Acc=0.4489, Val Top-5 Acc=0.7579, Epoch Time=148.86s
