Epoch 1: Train Loss=4.4516, Train Top-1 Acc=0.0491, Train Top-5 Acc=0.1953, Val Loss=4.2209, Val Top-1 Acc=0.0470, Val Top-5 Acc=0.1870, Epoch Time=148.26s
Epoch 2: Train Loss=4.0824, Train Top-1 Acc=0.0862, Train Top-5 Acc=0.2884, Val Loss=3.9308, Val Top-1 Acc=0.0811, Val Top-5 Acc=0.2789, Epoch Time=148.76s
Epoch 3: Train Loss=3.8223, Train Top-1 Acc=0.1328, Train Top-5 Acc=0.3668, Val Loss=3.6810, Val Top-1 Acc=0.1288, Val Top-5 Acc=0.3563, Epoch Time=148.41s
Epoch 4: Train Loss=3.5688, Train Top-1 Acc=0.1701, Train Top-5 Acc=0.4412, Val Loss=3.4724, Val Top-1 Acc=0.1691, Val Top-5 Acc=0.4324, Epoch Time=148.88s
Epoch 5: Train Loss=3.3601, Train Top-1 Acc=0.2180, Train Top-5 Acc=0.5064, Val Loss=3.2505, Val Top-1 Acc=0.2029, Val Top-5 Acc=0.4902, Epoch Time=148.40s
Epoch 6: Train Loss=3.1274, Train Top-1 Acc=0.2610, Train Top-5 Acc=0.5714, Val Loss=3.0248, Val Top-1 Acc=0.2450, Val Top-5 Acc=0.5516, Epoch Time=148.86s
Epoch 7: Train Loss=2.9147, Train Top-1 Acc=0.2904, Train Top-5 Acc=0.6095, Val Loss=2.8705, Val Top-1 Acc=0.2803, Val Top-5 Acc=0.5825, Epoch Time=148.40s
Epoch 8: Train Loss=2.7461, Train Top-1 Acc=0.3212, Train Top-5 Acc=0.6463, Val Loss=2.7343, Val Top-1 Acc=0.3036, Val Top-5 Acc=0.6159, Epoch Time=148.87s
Epoch 9: Train Loss=2.6082, Train Top-1 Acc=0.3593, Train Top-5 Acc=0.6828, Val Loss=2.5937, Val Top-1 Acc=0.3265, Val Top-5 Acc=0.6473, Epoch Time=148.37s
Epoch 10: Train Loss=2.4732, Train Top-1 Acc=0.3822, Train Top-5 Acc=0.7076, Val Loss=2.4890, Val Top-1 Acc=0.3569, Val Top-5 Acc=0.6745, Epoch Time=148.88s
Epoch 11: Train Loss=2.3706, Train Top-1 Acc=0.3983, Train Top-5 Acc=0.7230, Val Loss=2.4425, Val Top-1 Acc=0.3663, Val Top-5 Acc=0.6847, Epoch Time=148.39s
Epoch 12: Train Loss=2.2720, Train Top-1 Acc=0.4215, Train Top-5 Acc=0.7488, Val Loss=2.3541, Val Top-1 Acc=0.3860, Val Top-5 Acc=0.7049, Epoch Time=148.88s
Epoch 13: Train Loss=2.1994, Train Top-1 Acc=0.4375, Train Top-5 Acc=0.7592, Val Loss=2.3076, Val Top-1 Acc=0.3947, Val Top-5 Acc=0.7110, Epoch Time=148.40s
Epoch 14: Train Loss=2.1150, Train Top-1 Acc=0.4510, Train Top-5 Acc=0.7734, Val Loss=2.2737, Val Top-1 Acc=0.3994, Val Top-5 Acc=0.7174, Epoch Time=148.88s
Epoch 15: Train Loss=2.0693, Train Top-1 Acc=0.4562, Train Top-5 Acc=0.7812, Val Loss=2.2525, Val Top-1 Acc=0.4018, Val Top-5 Acc=0.7276, Epoch Time=148.39s
Epoch 16: Train Loss=2.0065, Train Top-1 Acc=0.4745, Train Top-5 Acc=0.7885, Val Loss=2.2327, Val Top-1 Acc=0.4134, Val Top-5 Acc=0.7248, Epoch Time=148.87s
Epoch 17: Train Loss=1.9492, Train Top-1 Acc=0.4811, Train Top-5 Acc=0.7993, Val Loss=2.2290, Val Top-1 Acc=0.4159, Val Top-5 Acc=0.7320, Epoch Time=148.40s
Epoch 18: Train Loss=1.9197, Train Top-1 Acc=0.4983, Train Top-5 Acc=0.8099, Val Loss=2.1821, Val Top-1 Acc=0.4253, Val Top-5 Acc=0.7421, Epoch Time=148.88s
Epoch 19: Train Loss=1.8624, Train Top-1 Acc=0.5157, Train Top-5 Acc=0.8269, Val Loss=2.1454, Val Top-1 Acc=0.4355, Val Top-5 Acc=0.7476, Epoch Time=148.39s
Epoch 20: Train Loss=1.8183, Train Top-1 Acc=0.5257, Train Top-5 Acc=0.8323, Val Loss=2.1538, Val Top-1 Acc=0.4389, Val Top-5 Acc=0.7512, Epoch Time=148.87s
Epoch 21: Train Loss=1.7862, Train Top-1 Acc=0.5317, Train Top-5 Acc=0.8333, Val Loss=2.1336, Val Top-1 Acc=0.4395, Val Top-5 Acc=0.7514, Epoch Time=148.40s
Epoch 22: Train Loss=1.7365, Train Top-1 Acc=0.5374, Train Top-5 Acc=0.8396, Val Loss=2.1457, Val Top-1 Acc=0.4358, Val Top-5 Acc=0.7495, Epoch Time=148.87s
Epoch 23: Train Loss=1.7222, Train Top-1 Acc=0.5463, Train Top-5 Acc=0.8446, Val Loss=2.1432, Val Top-1 Acc=0.4370, Val Top-5 Acc=0.7534, Epoch Time=148.39s
Epoch 24: Train Loss=1.6786, Train Top-1 Acc=0.5509, Train Top-5 Acc=0.8469, Val Loss=2.1435, Val Top-1 Acc=0.4381, Val Top-5 Acc=0.7498, Epoch Time=148.87s
